timestamp_utc,edge_id,requested_lat,requested_lon,highway_tag,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,matched_lat,matched_lon,error
2026-07-03T08:21:09.539195+00:00,0,-6.21589572073885,106.77731038093272,['primary'],FRC3,25,31,1372,1106,0.992317,False,-6.183194479539321,106.812727136261,
2026-07-03T08:21:09.823686+00:00,39,-6.227110204464682,106.8085452852718,['secondary'],FRC4,16,27,122,72,1.0,False,-6.227095563117329,106.80898009026629,
2026-07-03T08:21:10.095706+00:00,78,-6.219696352591185,106.77854284301168,['primary'],FRC3,25,31,1372,1106,0.992317,False,-6.183194479539321,106.812727136261,
2026-07-03T08:21:10.373012+00:00,117,-6.215272464458218,106.8434335354454,['primary'],FRC2,27,37,1421,1037,1.0,False,-6.302520610107032,106.83971015895708,
2026-07-03T08:21:10.641439+00:00,156,-6.243220283349662,106.84757324832502,['trunk'],FRC4,14,20,50,35,0.99,False,-6.241501668155177,106.84744564975784,
2026-07-03T08:21:10.917422+00:00,195,-6.225505138140924,106.85666125830782,['primary'],FRC2,20,20,85,85,1.0,False,-6.225081189927341,106.85570685352565,
2026-07-03T08:21:11.189876+00:00,234,-6.221798588223439,106.80966788474356,['trunk_link'],FRC1,14,33,387,164,1.0,False,-6.221330143991241,106.81024475181715,
2026-07-03T08:21:11.462043+00:00,273,-6.20558390706287,106.82995461591672,['secondary'],FRC3,29,29,30,30,1.0,False,-6.204664217649341,106.83002201999307,
2026-07-03T08:21:11.735372+00:00,312,-6.2842295075178844,106.8444536662611,['primary'],FRC3,26,26,52,52,1.0,False,-6.283315987735755,106.8445958026789,
2026-07-03T08:21:12.007123+00:00,351,-6.248687351557936,106.78116301269748,['trunk'],FRC2,24,39,198,122,1.0,False,-6.255997695816021,106.7816430159802,
2026-07-03T08:21:12.308984+00:00,390,-6.223939691394568,106.82496225425122,['primary'],FRC2,62,62,204,204,1.0,False,-6.225268920669398,106.8389350005516,
2026-07-03T08:21:12.584360+00:00,429,-6.233849551760608,106.8225593664836,['motorway_link'],FRC1,10,27,123,45,1.0,False,-6.23502282772174,106.82419760311586,
2026-07-03T08:21:12.852325+00:00,468,-6.304345789631689,106.82091186462183,['secondary'],FRC4,31,31,296,296,1.0,False,-6.294126647258585,106.82235760773119,
2026-07-03T08:21:13.122954+00:00,507,-6.309344918612793,106.8388777541026,['primary'],FRC2,49,49,66,66,1.0,False,-6.306235415197674,106.83940438712932,
2026-07-03T08:21:13.392461+00:00,546,-6.227441630144679,106.79023077654176,['trunk_link'],FRC4,42,42,26,26,1.0,False,-6.2257839508249,106.7889734932196,
2026-07-03T08:21:13.665594+00:00,585,-6.217976622538621,106.83616848675098,['secondary'],FRC6,27,27,157,157,1.0,False,-6.220367234840195,106.83203233565018,
2026-07-03T08:21:13.940671+00:00,624,-6.236045745022293,106.78269011903912,['primary'],FRC6,15,18,226,188,0.967127,False,-6.236510061806254,106.78052185261168,
2026-07-03T08:21:14.211807+00:00,663,-6.235814780777414,106.81380547849984,['secondary'],FRC2,22,22,335,335,1.0,False,-6.229301657439943,106.80103672826687,
2026-07-03T08:21:14.481936+00:00,702,-6.29878458160614,106.80387183611484,['motorway_link'],FRC0,60,60,33,33,1.0,False,-6.300774461735521,106.80363042438489,
2026-07-03T08:21:14.750189+00:00,741,-6.3236358337092335,106.83522616991831,['primary'],FRC2,31,38,1519,1239,1.0,False,-6.243580386084506,106.84354169453576,
2026-07-03T08:21:15.021793+00:00,780,-6.247012775308231,106.8427507000087,['primary'],FRC2,27,37,1421,1037,1.0,False,-6.302520610107032,106.83971015895708,
2026-07-03T08:21:15.293060+00:00,819,-6.312253772441325,106.81319529272442,['secondary'],FRC4,28,28,680,680,1.0,False,-6.327002475266842,106.81623948896686,
2026-07-03T08:21:15.563854+00:00,858,-6.306025763350413,106.81629976256434,['secondary'],FRC4,31,31,296,296,1.0,False,-6.294126647258585,106.82235760773119,
2026-07-03T08:21:15.833088+00:00,897,-6.244598182481191,106.75934441789406,['primary'],FRC4,35,35,228,228,1.0,False,-6.236325001421915,106.7566448279556,
