timestamp_utc,edge_id,requested_lat,requested_lon,highway_tag,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,matched_lat,matched_lon,match_distance_m,valid_match,error
2026-07-06T01:19:54.507497+00:00,36,-6.285386676820746,106.84171551527844,['secondary'],FRC3,20,28,370,264,1,False,-6.285508680961861,106.84399901117291,252.7511761036829,False,
2026-07-06T01:19:54.784565+00:00,75,-6.239514019829235,106.80731047592506,['secondary'],FRC2,19,19,125,125,1,False,-6.239248631230754,106.80734126055785,29.70540940996897,True,
2026-07-06T01:19:55.062313+00:00,114,-6.268185350491306,106.76587004630991,['secondary'],FRC2,26,26,929,929,1,False,-6.253540753299881,106.77768541657775,2087.4071656304245,False,
2026-07-06T01:19:55.350890+00:00,153,-6.292289300967344,106.80977626671452,['motorway'],FRC0,28,71,883,348,1,False,-6.305602411425183,106.86055896963472,5804.628906849602,False,
2026-07-06T01:19:55.627628+00:00,192,-6.288762633429965,106.7786995109141,['trunk'],FRC1,12,16,48,36,1,False,-6.287977636806059,106.77794559085231,120.67574598837608,True,
2026-07-06T01:19:55.908804+00:00,231,-6.285975402693743,106.84409555875284,['primary'],FRC3,26,26,52,52,1,False,-6.283315987735755,106.8445958026789,300.83793410268356,False,
2026-07-06T01:19:56.189407+00:00,270,-6.225973473532599,106.8581757978167,['secondary'],FRC6,23,23,178,178,1,False,-6.234078691440844,106.85687361444735,912.6812208574235,False,
2026-07-06T01:19:56.472900+00:00,309,-6.225905469051737,106.83390410040244,['primary_link'],FRC3,32,32,39,39,1,False,-6.225696793192945,106.83482585633982,104.49881752177886,True,
2026-07-06T01:19:56.748398+00:00,348,-6.233007976359644,106.78023385997372,['primary'],FRC6,19,19,217,217,1,False,-6.239039408264457,106.78072838270589,672.8886178482921,False,
2026-07-06T01:19:57.023485+00:00,387,-6.237990700524026,106.78323142954794,['trunk_link'],FRC3,41,41,23,23,1,False,-6.238846266479502,106.78234843695122,136.29715099222665,True,
2026-07-06T01:19:57.306811+00:00,426,-6.302196282416897,106.83844918720176,['trunk_link'],FRC2,31,31,38,38,1,False,-6.301829949518464,106.83725593770788,138.02904613927558,True,
2026-07-06T01:19:57.586255+00:00,465,-6.275039088049294,106.7763935651158,['secondary'],FRC4,27,27,211,211,1,False,-6.272158003841144,106.76440714084646,1363.0309900483933,False,
2026-07-06T01:19:57.862054+00:00,504,-6.219080894686975,106.83147250404755,['primary'],FRC3,29,29,74,74,1,False,-6.217616567978705,106.83108149255418,168.4648599414749,False,
2026-07-06T01:19:58.139990+00:00,543,-6.240244594765986,106.82960284375484,['primary'],FRC2,24,29,571,473,1,False,-6.240231669760598,106.83224288905791,291.82380442187343,False,
2026-07-06T01:19:58.420628+00:00,582,-6.225855165891121,106.8330286597622,['primary'],FRC3,30,34,1311,1156,1,False,-6.20254526481336,106.8280492552621,2649.743690915049,False,
2026-07-06T01:19:58.708977+00:00,621,-6.306996921305797,106.78168693223556,['secondary'],FRC2,29,29,913,913,1,False,-6.299326068067785,106.77841765963899,926.3365071297306,False,
2026-07-06T01:19:58.989191+00:00,660,-6.226389855769448,106.80312729635182,['primary'],FRC1,12,32,452,169,1,False,-6.221330143991241,106.81024475181715,967.2261600550212,False,
2026-07-06T01:19:59.273931+00:00,699,-6.323852814013625,106.83498061811235,['primary'],FRC2,40,40,47,47,1,False,-6.325134278758642,106.83361483896937,207.57649017543548,False,
2026-07-06T01:19:59.549464+00:00,738,-6.251183579623277,106.76173730685264,['motorway_link'],FRC0,62,62,37,37,1,False,-6.253988682910125,106.76109595381678,319.86779952271405,False,
2026-07-06T01:19:59.841272+00:00,777,-6.304538317345404,106.85329423857247,['motorway'],FRC0,65,65,313,313,1,False,-6.292084122434179,106.81130154216925,4843.392183092759,False,
2026-07-06T01:20:00.123312+00:00,816,-6.247212247416717,106.76013026531665,['motorway'],FRC0,58,68,425,362,1,False,-6.196303766386236,106.73369182430525,6370.658592475776,False,
2026-07-06T01:20:00.407313+00:00,855,-6.209693222265955,106.82157282728063,['primary'],FRC1,26,38,552,377,1,False,-6.180991025468238,106.82305498207523,3195.74160980717,False,
2026-07-06T01:20:00.681930+00:00,894,-6.270380349913984,106.77873676558224,['secondary'],FRC5,23,23,958,958,1,False,-6.286486383545698,106.77899567568187,1791.1378466861684,False,
