edge_id,lat,lon,highway_tag,distance_m,component_id
703,-6.235444892859697,106.75583232857385,complex_corridor,46.99,2
821,-6.288795825000754,106.77763638750048,complex_corridor,59.12,1
1336,-6.235382350000007,106.75605569999999,complex_corridor,34.85,2
2187,-6.234661449999994,106.7555585,complex_corridor,159.04,2
2188,-6.233655599999991,106.75488135,complex_corridor,109.3,2
2298,-6.288583799999989,106.77784095,complex_corridor,17.09,1
2322,-6.2884621,106.7781152,complex_corridor,52.2,1
2459,-6.23996075,106.79819865,complex_corridor,34.28,3
2660,-6.288887410002579,106.77817204999795,complex_corridor,90.28,1
2731,-6.240104349999994,106.79819524999999,complex_corridor,48.04,3
2979,-6.239918790000258,106.79844824999957,complex_corridor,20.76,3
3134,-6.2892448600025785,106.77855074999795,complex_corridor,19.6,1
3164,-6.239840140000258,106.79869149999956,complex_corridor,29.14,3
3940,-6.242815700000143,106.84290446666662,complex_corridor,40.89,0
3995,-6.2428431,106.8426503,complex_corridor,74.87,0
4135,-6.242451300001405,106.84346441666648,complex_corridor,134.79,0
4174,-6.242622250001264,106.84418269999986,complex_corridor,80.05,0
4307,-6.237238257899974,106.82723952105019,complex_corridor,40.88,4
4312,-6.237042057899963,106.8269344210502,complex_corridor,43.1,4
4383,-6.255330045001537,106.84307333999777,complex_corridor,46.18,5
4421,-6.237577607899957,106.82686737105018,complex_corridor,81.03,4
5234,-6.255677025000373,106.84317109999861,complex_corridor,34.7,5
5259,-6.255508725000373,106.84360214999862,complex_corridor,80.74,5
5296,-6.242909649999996,106.84406470000002,complex_corridor,52.87,0
