edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
19,-6.3113305500000685,106.79359659999977,FRC2,27,27,1.0,-6.309235465996875,106.79372770869958,233.41292557259902,False,
20,-6.311458125000032,106.78126812499991,FRC2,21,28,0.997837,-6.299326068067785,106.77841765963899,1385.3207843699124,False,
21,-6.311458125000032,106.78126812499991,FRC2,21,28,0.997837,-6.299326068067785,106.77841765963899,1385.3207843699124,False,
22,-6.322263900000005,106.81116705000001,FRC3,23,25,0.878847,-6.315751956371668,106.81170253241709,726.5095434325951,False,
23,-6.322263900000005,106.81116705000001,FRC3,23,25,0.878847,-6.315751956371668,106.81170253241709,726.5095434325951,False,
24,-6.3142598,106.81261375,FRC4,22,28,0.983722,-6.327002475266842,106.81623948896686,1472.49300764246,False,
25,-6.3271339000000015,106.8140526,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4113.968174670558,False,
26,-6.3271339000000015,106.8140526,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4113.968174670558,False,
27,-6.315641438888878,106.7931246499999,FRC2,19,19,1.0,-6.311925749488353,106.79347692215663,414.9961296688883,False,
28,-6.315641438888878,106.7931246499999,FRC2,19,19,1.0,-6.311925749488353,106.79347692215663,414.9961296688883,False,
29,-6.323234475000191,106.81128532499915,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,424.95573850941577,False,
30,-6.323234475000191,106.81128532499915,FRC3,21,30,0.991653,-6.327026634731526,106.81080801571039,424.95573850941577,False,
31,-6.315316149999996,106.78235315,FRC3,21,31,1.0,-6.341546768354284,106.77946640336404,2934.108168672919,False,
32,-6.315316149999996,106.78235315,FRC3,21,31,1.0,-6.341546768354284,106.77946640336404,2934.108168672919,False,
33,-6.309057975001409,106.78112167500063,FRC3,21,31,1.0,-6.341546768354284,106.77946640336404,3617.217895783676,False,
34,-6.327160850000007,106.8163384,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4165.6913539743855,False,
35,-6.327160850000007,106.8163384,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4165.6913539743855,False,
36,-6.327341050000182,106.81723778333337,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4171.877713585352,False,
37,-6.327341050000182,106.81723778333337,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4171.877713585352,False,
38,-6.3120163275000465,106.79418763999978,FRC4,22,28,0.983722,-6.327002475266842,106.81623948896686,2952.3809757994745,False,
39,-6.3267105749999075,106.81906182500009,FRC3,19,25,0.98,-6.331111567421532,106.83461932624567,1787.6581664106245,False,
40,-6.3267105749999075,106.81906182500009,FRC3,19,25,0.98,-6.331111567421532,106.83461932624567,1787.6581664106245,False,
41,-6.314828550000001,106.79045095000001,FRC2,24,24,1.0,-6.315743875271233,106.79310141289449,310.1077341454139,False,
42,-6.343948012500399,106.80413485000011,FRC3,22,31,0.99,-6.344409992893542,106.80400459254253,53.34873879510851,True,
43,-6.326611583336412,106.82202946666828,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4419.3867394116905,False,
44,-6.326611583336412,106.82202946666828,FRC3,24,24,1.0,-6.363479145344341,106.8070918151194,4419.3867394116905,False,
45,-6.3107101499999905,106.81570805,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,4065.656019635978,False,
46,-6.311053099999999,106.816191,FRC4,22,27,0.974117,-6.339860982278824,106.79350240314227,4067.998896668787,False,
47,-6.322503625000197,106.81118267499915,FRC3,23,25,0.878847,-6.315751956371668,106.81170253241709,752.9465501981269,False,
