index,x_m,y_m
480,697330.7521737632,9310166.89982398
481,696724.7848060627,9303385.13284398
482,699703.313708467,9303930.535029298
483,693809.9307292406,9310314.337364739
484,699780.4039576501,9309958.769421723
485,699823.4113186502,9309982.660616785
486,699870.1111632339,9310000.505985502
487,699909.0084575245,9310011.90806325
488,700821.2016870826,9310036.756446583
489,696562.0282486946,9308452.542796033
490,697045.4114544755,9309806.6771006
491,698028.5964784233,9308066.654583381
492,698048.0414901103,9308138.17815342
493,698968.568540844,9310284.958929181
494,697078.9131856784,9302486.185521163
495,696372.2339626922,9303503.62068414
496,696147.6467070857,9306278.977280777
497,700780.492152149,9310121.116383528
498,700542.8110694408,9310036.332062976
499,700074.4311045405,9311347.327228459
500,696361.8932962399,9303518.453694783
501,696941.8038949828,9305175.787033275
502,697000.4196653696,9309547.147594893
503,699009.4300979776,9310901.638349852
504,701643.3255823296,9303916.997149032
505,698059.5382027762,9308173.331141068
506,700473.7462662123,9310689.278097142
507,698483.4170563454,9302701.741159713
508,696221.7265709668,9306106.66410677
509,696254.3813581669,9306147.249463065
510,696276.026361442,9306174.648407342
511,697334.4420271317,9309301.296890138
512,700103.8856644005,9306427.506604075
513,700110.8854386797,9306378.844806107
514,700111.3095333865,9306338.176176181
515,697867.6678911177,9310303.880405506
516,700782.6577232257,9309949.69154773
517,699970.6111376253,9311472.338233735
518,700011.8296681268,9311485.01276327
519,697162.7482940045,9304260.553749405
520,698243.0668478828,9308900.61526666
521,696995.2810053125,9310320.447511274
522,700192.4268352196,9310879.615083875
523,700110.0702307997,9304135.041067105
524,700109.5099674088,9304152.21900855
525,700986.0921379793,9304163.489832165
526,698792.781616315,9307851.776146924
527,693756.0460685829,9310324.638589473
528,700057.7089718055,9311341.257333547
529,699858.6662097949,9304174.487552347
530,696382.4310553243,9306656.47875169
531,701554.3236165225,9303953.589825897
532,699950.4870068491,9305382.616159491
533,696977.4419472251,9310555.664369952
534,699949.1023915121,9310021.850855438
535,699222.8901648654,9310694.99881821
536,700233.4222282361,9310857.16232527
537,697006.0598715815,9304312.371706668
538,697091.2762494923,9305760.445126664
539,697123.1071625407,9305887.241549807
540,697023.063151836,9309732.360721275
541,693275.6811087152,9310348.775055451
542,698521.7623375248,9310662.83702808
543,698481.2291800273,9310646.95910968
544,701051.6068104352,9304157.389215441
545,699970.8725979127,9305575.175576715
546,700091.1107574,9306523.753154036
547,698826.6031913438,9308245.145994047
548,698837.7493685866,9308268.256046077
549,698192.7045618917,9308604.10865145
550,697348.8891100776,9310256.259276243
551,696966.5539369049,9310726.905072473
552,699989.8645089493,9310798.672117801
553,694363.9166299116,9307149.094174225
554,695186.4636695492,9308478.027113905
555,695076.8903409792,9308643.403749255
556,694935.5542434836,9308623.87059332
557,695023.3111048536,9310179.56078089
558,694989.064176061,9310194.727379056
559,701021.8981209088,9304097.05439255
560,700985.8937237968,9304100.050739162
561,694051.0273166898,9306725.86894173
562,698867.86675456,9308661.063515263
563,697228.0824690787,9309673.785248576
564,699937.1449049017,9305125.852003494
565,698868.08987719,9306411.283088261
566,700556.8510075436,9311439.361398136
567,694367.797973393,9307187.147080462
568,698932.268390378,9309275.231941381
569,698234.0508811765,9309471.827372093
570,698238.4898210946,9309439.573065244
571,698242.939742928,9309407.296599368
572,696648.2036428377,9310114.97966169
573,697005.639653679,9310335.37629002
574,699958.7608792091,9309921.557262609
575,699595.5056563967,9305727.580773443
576,699689.0094013095,9305723.028228913
577,698791.620380436,9307766.265760457
578,698319.0715022867,9309208.83541287
579,698287.2345334577,9309203.424992587
580,698255.3975377801,9309198.00349696
581,697235.9711227262,9309911.851876805
582,699777.9508025786,9304082.560401669
583,699761.904415925,9304069.731109384
584,699341.6931676639,9304168.037162757
585,699470.984372782,9304160.973018933
586,696604.4535213177,9308449.153420728
587,698166.9713290194,9308502.78934775
588,698224.3553099895,9309705.915843612
589,694829.5298357556,9310204.992945587
