from,to,distance
720,674,50.99
1065,1298,35.39
1298,301,35.4
596,1299,32.15
1299,1169,29.99
1300,1301,123.13
1301,4259,123.13
1302,1303,147.3
1303,1304,25.53
1304,1305,57.62
1305,264,20.88
1306,1307,38.28
1307,1306,38.28
1307,1308,22.17
1308,1307,22.17
1308,151,67.09
151,1308,67.09
1309,1310,46.08
1310,1311,93.13
1311,1575,159.65
1015,1312,34.78
1312,1015,34.78
1312,1313,28.31
1313,1312,28.31
1313,205,69.18
205,1313,69.18
1314,1315,29.13
1315,1316,29.13
1316,1317,35.34
1317,1096,18.07
1318,650,45.01
321,803,18.86
1131,1334,215.75
1250,1319,136.75
1319,1273,136.76
143,1320,200.0
1320,1321,153.48
1321,1322,153.48
1322,1323,200.0
1323,1324,173.71
1324,848,173.73
1325,988,29.02
531,1326,29.79
1326,1327,28.33
1327,1328,33.72
1328,1329,53.68
1329,1650,112.19
1330,1331,48.19
1331,406,48.19
956,1332,36.1
1332,419,36.1
1333,444,46.93
1242,274,98.93
1334,1604,35.76
1335,1336,40.11
1336,1187,18.25
189,1337,50.62
1337,4260,46.21
1338,1339,50.0
1339,1340,31.48
1340,349,31.48
1341,776,225.73
150,1342,43.27
1342,150,43.27
1342,1343,18.24
1343,1342,18.24
1343,889,20.79
889,1343,20.79
294,1344,102.14
1344,470,102.14
470,1345,165.06
1345,1177,165.06
1177,524,151.41
1346,1347,44.93
1347,1176,57.42
1176,1885,189.33
444,1706,38.84
534,982,37.21
523,1348,128.94
1348,154,176.51
154,1297,176.51
1297,1991,177.17
1349,1350,19.63
1350,894,25.71
1351,4261,118.36
1352,4262,200.0
1353,1295,160.32
1354,1355,52.77
1355,1454,89.92
1356,1357,35.53
1357,1358,21.85
1358,1359,26.08
1359,1555,23.5
223,771,29.89
264,1360,171.65
1360,1361,171.66
1361,1362,44.8
1362,1363,49.93
1363,322,22.71
567,417,162.63
1364,1365,75.72
1365,1366,151.96
1366,1367,122.72
1367,1368,113.0
1368,1369,113.0
1369,1370,189.0
1370,1371,189.0
1371,1916,173.21
1372,1300,187.69
1373,424,33.33
1374,1014,238.06
1375,1376,77.5
1376,4263,114.4
1377,1832,133.36
1378,1379,66.06
1379,1378,66.06
1380,1381,23.26
1381,1549,18.42
1382,880,129.45
1383,1384,45.45
1384,1385,60.43
1385,1593,100.09
296,967,16.31
1386,1387,107.21
1387,1388,107.22
1388,482,87.44
1167,1023,94.46
1389,4264,57.72
1122,1390,50.0
1390,1391,50.0
1391,4265,50.0
1053,1392,37.17
1392,1393,57.29
1393,2231,31.15
1394,1395,78.1
1395,830,62.64
1396,357,66.29
805,1397,20.46
1397,852,48.28
827,1398,28.69
1398,1399,28.69
1399,1400,39.81
1400,2411,39.82
1081,1401,82.85
1401,1402,58.38
1402,1767,37.7
1403,541,23.2
1404,1405,25.59
1405,1406,30.36
1406,1109,95.99
1407,1408,32.58
1408,1409,26.66
1409,1410,43.94
1410,1197,104.88
1411,1412,50.0
1412,1413,27.92
1413,1679,27.92
1414,372,34.41
614,1415,19.19
1415,1416,28.56
1416,1008,28.56
1417,725,119.43
983,1418,62.79
1418,382,41.56
188,463,17.01
1419,1420,34.53
1420,1421,27.27
1421,1335,48.43
1422,1423,50.0
1423,1424,42.18
1424,995,42.19
1005,1425,31.83
1425,937,22.34
567,553,30.12
1046,1427,16.89
1427,1046,16.89
1427,1098,24.57
1098,1427,24.57
1428,4266,207.84
739,1429,47.63
1429,4267,48.18
1430,1431,50.0
1431,1432,48.75
1432,246,48.75
214,736,29.98
627,1433,23.23
1433,627,23.23
1433,1378,15.21
1378,1433,15.21
1434,1722,317.39
830,831,200.0
831,1435,200.0
1435,1436,110.56
1436,1437,110.56
1437,1438,89.95
1438,1439,200.0
1439,1440,155.44
1440,1266,155.45
1113,2313,55.9
1441,1068,66.05
400,1442,50.0
1442,1443,50.0
1443,1444,44.92
1444,934,44.92
1099,1445,33.37
1445,1099,33.37
1445,1446,29.33
1446,1445,29.33
1446,1447,18.67
1447,1446,18.67
1447,1158,16.19
1158,1447,16.19
1448,782,65.32
1449,1450,16.2
1450,1451,69.32
1451,1452,75.23
1452,1453,45.17
1453,211,66.79
211,1183,51.81
1454,1455,122.67
1455,871,77.83
1456,1457,500.0
1457,1458,500.0
1458,1459,500.0
1459,1460,500.0
1460,512,500.0
512,1461,444.7
1461,1462,444.71
1462,175,24.9
551,1148,17.82
1148,1463,33.57
1463,364,31.19
1464,2085,26.09
1465,891,39.98
1466,1467,25.71
1467,617,38.31
1468,1737,38.4
1469,1470,29.86
1470,157,18.5
1471,1472,33.97
1472,1473,200.0
1473,4268,111.22
1239,1474,79.85
1474,1239,79.85
1475,1476,105.94
1476,511,18.34
857,1079,186.44
1477,1478,113.3
1478,1479,113.3
1479,1480,116.0
1480,1067,31.37
510,509,36.56
509,508,46.89
759,200,53.31
1481,1482,26.21
1482,557,26.21
1483,1484,101.91
1484,1081,101.91
418,2014,195.01
1081,418,78.22
1485,1782,111.56
1486,1487,148.42
1487,1773,120.52
1205,1488,138.35
1488,1489,28.98
1489,459,43.09
1490,1491,125.48
1491,1492,122.44
1492,554,84.9
826,1493,74.85
1493,760,24.76
257,1144,64.52
1494,1495,42.34
1495,1496,28.4
1496,1318,28.4
446,315,86.01
891,1497,92.56
1497,1498,19.6
1498,1499,23.81
1499,1500,31.25
1500,1501,23.76
1501,1084,35.03
1502,523,45.55
1503,1504,45.83
1504,149,83.41
660,1505,167.02
1505,1506,200.0
1506,1507,121.16
1507,1508,121.16
1508,1593,75.49
679,1509,121.92
1509,893,45.29
612,1510,28.46
1510,1511,50.14
1511,573,49.64
535,602,51.76
1512,1513,86.89
1513,1211,69.41
537,1514,119.8
1514,292,15.18
1077,1515,94.05
1515,1516,200.0
1516,1517,200.0
1517,1518,200.0
1518,1519,200.0
1519,1520,187.05
1520,1521,187.05
1521,1252,123.63
820,634,130.49
914,1522,71.73
1522,4269,156.55
1523,1161,53.79
1161,723,24.03
1524,1525,26.23
1525,1526,37.98
1526,564,152.73
1527,1528,45.15
1528,559,33.04
1529,1530,31.32
1530,1531,105.34
1531,1532,50.0
1532,1533,31.37
1533,1954,31.37
307,1041,51.06
635,1534,38.02
1534,635,38.02
1534,160,46.89
160,1534,46.89
571,1535,19.72
1535,571,19.72
1535,269,45.06
269,1535,45.06
1536,885,31.78
196,789,133.72
789,1537,50.57
1537,1538,101.48
1538,2155,101.09
783,1539,27.56
1539,944,40.02
1540,1219,18.22
1219,765,179.73
272,1541,92.61
1541,2138,58.14
669,1542,50.0
1542,1543,34.47
1543,1544,34.48
1544,1264,36.17
1545,1546,32.65
1546,275,24.44
718,1547,82.4
1547,1548,28.58
1462,205,157.44
1549,4270,50.02
195,909,30.3
1550,342,46.33
397,4271,32.44
429,770,196.43
770,1551,120.25
1551,764,129.14
779,1744,71.18
344,553,203.55
553,344,203.55
1552,1553,34.4
1553,956,25.13
711,4272,50.59
898,1554,83.9
1554,1538,47.67
1538,2155,96.57
1555,1556,28.41
1556,2104,62.79
1557,1558,35.53
1558,1557,35.53
1558,219,24.18
219,1558,24.18
541,1403,21.46
1337,1559,26.59
1559,189,26.59
866,1560,39.11
1560,866,39.11
1560,543,32.3
543,1560,32.3
833,820,49.57
1550,1561,15.56
1561,1550,15.56
478,1562,175.79
1562,1563,101.35
1563,1564,101.35
1564,1565,50.0
1565,1566,50.0
1566,1567,50.0
1567,1568,44.82
1568,412,44.83
634,1569,81.18
1569,856,19.73
1483,345,190.17
990,1570,30.08
1570,990,30.08
1570,1557,17.73
1557,1570,17.73
1079,1571,38.62
1571,1572,18.08
1572,1573,50.0
1573,1574,39.92
1574,857,39.93
1575,1576,200.0
1576,1577,200.0
1577,1578,200.0
1578,1579,135.29
1579,1580,135.29
1580,1581,35.7
1581,1582,103.93
1582,1583,103.93
1583,2520,61.89
1584,1585,25.75
1585,1586,46.75
1586,1587,42.75
1587,1588,43.4
1588,1589,22.93
1589,1590,19.14
1590,1591,25.61
1591,1078,43.79
1078,1592,38.11
1592,258,38.11
1593,1594,49.07
1594,1584,24.94
1595,2164,125.21
812,1596,26.0
1596,812,26.0
1596,839,26.0
839,1596,26.0
1125,1903,107.93
315,1597,113.53
1597,2229,85.75
1598,1599,145.34
1599,871,52.74
935,1600,29.91
220,1601,36.58
1601,220,36.58
1601,947,21.26
947,1601,21.26
909,195,30.79
1602,1380,120.9
1380,1603,20.28
1603,1801,46.86
1604,1100,30.54
1605,1606,77.46
1606,976,117.71
1607,1608,134.35
1608,1609,43.78
1609,1610,35.17
1610,1611,24.53
1611,997,71.11
1338,1612,15.48
1612,1338,15.48
1612,1613,50.0
1613,1612,50.0
1613,1614,38.53
1614,1613,38.53
1614,1024,38.53
1024,1614,38.53
1615,1616,34.86
1616,1925,34.86
1090,507,19.6
507,1090,19.6
1256,1617,137.54
1617,470,73.25
470,234,174.45
901,841,24.6
1618,1619,26.3
1619,1092,26.3
1092,4273,42.86
1620,932,29.86
1621,650,16.39
1622,1623,24.86
1623,216,20.63
1624,1743,55.01
1625,1626,40.74
1626,1627,81.01
1627,1628,49.13
1628,2032,48.04
1629,1630,135.31
1630,984,146.2
1477,1007,498.33
301,1631,49.85
1631,1065,21.28
1367,1632,50.0
1632,1633,50.0
1633,1634,50.0
1634,1635,37.43
1635,1369,37.43
1369,1636,50.0
1636,1637,50.0
1637,1638,50.0
1638,1639,50.0
1639,1640,50.0
1640,1641,50.0
1641,1642,36.56
1642,413,36.56
935,1643,50.0
1643,1644,26.45
1644,1645,26.45
1645,1646,29.63
1646,444,29.63
373,1647,146.16
1647,667,48.16
1066,1648,37.35
1648,1066,37.35
1648,384,37.78
384,1648,37.78
1649,1329,116.26
1329,1650,116.26
1650,1651,127.27
1651,1527,91.89
539,538,127.61
157,1470,22.76
1470,1469,29.92
1652,1045,32.51
1045,1652,32.51
1471,1653,136.28
1653,1654,136.28
1654,186,195.04
186,1655,195.04
1655,1656,200.0
1656,1657,200.0
1657,1658,142.35
1658,875,142.36
1659,1660,35.16
1660,1661,49.13
1661,272,49.13
1662,626,51.67
626,1662,51.67
1068,1113,21.48
1663,4274,93.69
643,1664,31.66
1664,643,31.66
1664,1665,43.56
1665,1664,43.56
1665,810,43.63
810,1665,43.63
1666,1667,159.04
1667,1668,109.3
1668,1669,164.17
1669,1947,111.0
763,1622,20.6
1622,763,20.6
1670,1154,38.98
584,1256,64.58
1272,1671,15.72
1671,1672,50.0
1672,1673,50.0
1673,1674,49.95
1674,682,49.95
1675,4275,31.82
1676,1677,115.1
1677,1656,45.43
1656,1678,83.98
1678,1479,30.92
1479,1067,151.89
1679,1600,42.81
1600,935,42.81
311,1680,31.9
1680,464,66.92
835,632,23.37
216,1622,50.39
1681,1682,49.89
1682,1434,39.04
356,1683,128.19
1683,1684,128.19
1684,1386,40.71
1685,1686,33.06
1686,1687,33.06
1687,194,43.61
1688,1131,53.15
299,1689,32.46
1689,784,32.47
923,1690,60.47
1690,1691,44.2
1691,1692,16.75
1692,898,44.24
202,1693,49.37
1693,1607,18.88
1694,2030,29.45
354,1695,23.28
1695,354,23.28
1695,1306,22.61
1306,1695,22.61
1696,816,37.06
1697,1698,101.83
1698,922,58.6
1699,1700,28.84
1700,2045,44.19
296,1701,23.86
1701,1062,36.98
1702,1703,43.09
1703,311,33.53
1704,2204,20.66
1705,771,16.14
736,214,31.24
371,1094,46.93
1706,1707,30.21
1707,1708,50.0
1708,1709,41.52
1709,669,41.52
159,1710,38.37
1710,1711,38.37
1711,1712,45.84
1712,770,45.84
1379,1713,17.37
1713,1379,17.37
511,1714,52.91
1714,1715,54.66
1715,1475,15.23
1475,729,54.12
210,1716,92.91
1716,1717,200.0
1717,1718,200.0
1718,249,200.0
249,1719,200.0
1719,1720,187.69
1720,1721,187.69
1721,1964,182.24
1722,1383,88.62
1723,1724,49.01
1724,745,49.01
1725,1726,82.12
1726,1727,200.0
1727,1728,177.04
1728,1322,177.04
1322,1729,200.0
1729,1730,176.31
1730,1404,176.33
1731,1604,17.96
444,1643,100.1
1643,935,51.35
521,1732,41.05
1732,1511,18.26
1511,1510,49.75
1510,612,28.57
1733,659,57.26
454,780,29.14
780,295,29.14
1734,1735,23.11
1735,1736,41.44
1736,1545,41.44
1737,1738,26.45
1738,1739,41.47
1739,1740,41.47
1740,1741,34.47
1741,2303,34.47
371,837,17.39
1742,315,17.09
1743,1722,36.84
1744,1745,43.03
1745,2041,57.17
376,1746,50.0
1746,1747,31.18
1747,189,31.18
459,1748,32.57
1748,1458,56.68
1749,704,46.36
704,1749,46.36
230,231,51.3
231,1750,49.92
1750,1751,50.0
1751,196,46.16
196,550,46.01
1752,1753,19.1
1753,1754,137.94
1754,1755,152.89
1755,1368,110.88
1368,1490,110.88
397,4276,54.97
475,1113,130.85
1756,2208,63.06
742,1742,52.2
1611,910,183.95
1757,660,50.23
1758,1237,33.04
1237,818,35.86
1166,1652,33.58
1652,1166,33.58
1759,371,182.86
371,444,81.37
444,935,154.41
1760,445,129.2
1761,221,230.77
1552,1762,24.81
1762,631,90.04
1758,307,54.9
1763,1764,47.88
1764,1419,38.07
1620,1765,49.63
1765,588,49.59
719,1766,15.4
1766,494,99.13
1767,1768,28.97
1768,2214,18.26
1769,1205,67.23
524,1394,57.81
1770,832,50.0
832,1771,50.0
1771,1772,25.82
1772,854,25.82
1773,1774,108.35
1774,679,123.75
1775,1776,39.02
1776,1777,113.89
1777,1778,111.82
1778,1250,25.91
1779,1785,32.4
875,1780,108.49
1780,4277,108.49
1781,1782,164.21
1782,1783,193.19
1783,1784,193.19
1784,920,34.02
157,1470,27.16
1470,1469,30.11
760,285,20.0
1785,1786,131.79
1786,796,64.26
1787,648,59.42
253,227,29.56
1788,1005,89.26
1512,1211,156.21
645,294,20.34
565,1789,32.1
1789,1790,43.6
1790,2178,42.94
1791,1792,25.82
1792,1793,26.82
1793,1794,29.72
1794,1795,87.87
1795,1796,20.38
1796,1797,43.74
1797,1798,50.84
1798,1799,32.98
1799,1800,59.27
1800,1449,53.73
878,1172,35.67
1172,310,35.68
1801,1802,45.04
1802,1803,19.16
1804,1805,31.56
1805,1430,18.31
288,4278,200.0
1806,1992,64.95
1807,1364,112.74
758,1808,274.73
1808,468,21.67
1809,1810,83.78
1810,726,34.98
298,1811,70.73
1062,1701,37.49
1701,296,34.78
326,1759,37.76
1759,1210,500.0
1210,1812,339.68
1812,1456,339.69
1813,1814,44.92
1814,1382,44.92
322,1815,25.5
1815,1376,25.5
1376,1816,39.8
1816,1817,39.8
1817,1818,50.0
1818,1819,50.0
1819,1820,50.0
1820,1821,36.81
1821,1291,36.81
861,1705,40.69
1823,693,178.83
1824,1825,28.31
1825,923,101.2
498,1826,84.11
1826,256,15.79
235,720,148.64
1827,1828,111.0
1828,1829,36.04
1829,1809,33.6
966,1830,47.73
1830,230,365.25
1831,991,33.11
991,1038,35.77
1038,550,34.09
550,633,34.09
401,594,18.0
1832,1304,113.41
1304,1303,24.94
1303,4279,200.0
1833,1834,103.0
1834,386,103.01
1264,188,36.32
607,1286,46.26
1286,1835,35.77
1835,189,35.77
869,4245,63.0
790,761,27.48
1836,1837,90.2
1837,1838,40.63
1838,1151,147.22
1839,1840,46.45
1840,1841,66.77
1841,690,66.6
1333,872,32.33
1842,1843,100.03
1843,1133,18.26
1844,1845,37.93
1845,1846,53.86
1846,1694,22.72
1759,829,95.56
885,1428,34.28
373,156,15.4
1688,1220,17.49
1220,1688,17.49
796,1847,63.29
1847,1848,104.31
1848,1849,53.35
1849,1850,42.13
1850,1851,35.18
1851,1852,51.87
1852,1791,18.12
848,1853,200.0
1853,1854,200.0
1854,1855,111.19
1855,1856,111.19
1856,1857,104.28
1857,1858,181.58
1858,1375,181.58
1375,1376,84.82
1376,4280,200.0
1859,1832,147.85
1860,1861,17.68
1861,1862,24.26
1862,1863,24.79
1864,1865,29.22
1863,1864,18.14
1865,2136,30.54
493,753,188.96
1866,1867,40.93
1867,1868,94.58
1868,2001,24.96
942,1869,17.02
1869,942,17.02
1869,1870,72.37
1870,1869,72.37
1870,574,31.63
574,1870,31.63
1309,1871,36.35
1871,1872,59.71
1872,2217,17.66
1085,1873,50.0
1873,671,50.0
671,1518,40.23
1518,415,40.25
1874,968,30.35
1875,1876,42.48
1876,1877,38.87
1877,1878,43.14
1878,1879,159.9
1879,1866,159.9
1410,1880,62.26
1880,1408,18.31
1408,1881,20.83
1881,1882,24.77
1882,2301,30.66
200,1883,26.95
1883,759,26.95
1884,447,154.72
1885,1886,18.14
1886,1887,96.98
1887,1888,26.45
1888,1889,23.28
1889,1890,36.87
1890,1891,70.42
1891,1892,31.18
1892,1893,61.05
1893,1894,109.45
1894,1770,110.32
1895,1896,50.94
1896,1897,31.24
1897,1898,42.36
1898,916,22.36
1008,614,79.28
275,1546,24.68
1546,1899,50.0
1899,1736,30.5
1736,1735,30.5
1735,1734,30.25
1812,162,84.25
934,1900,66.91
1900,253,41.54
760,1901,46.88
1901,826,46.88
1902,285,37.78
1903,1904,74.87
1905,1906,83.9
1906,999,44.6
1907,1156,18.59
1773,1908,200.0
1908,1909,139.16
1909,1655,139.16
1655,186,197.83
186,1654,197.83
1654,1910,146.89
1910,1669,146.89
1669,1947,108.33
1911,1912,38.05
1912,4281,38.05
1705,1414,83.95
602,535,55.31
1913,1914,30.36
1914,1913,30.36
1914,1144,29.94
1144,1914,29.94
386,390,200.0
390,1915,152.93
1915,1916,152.93
1916,1371,168.6
1371,1917,192.17
1917,1369,192.17
1369,1368,110.81
1368,1490,110.82
824,1918,26.56
1918,1919,34.96
1919,1229,112.14
881,1240,71.1
1240,295,29.98
418,1920,62.62
1920,2014,130.91
554,1921,200.0
1921,1922,200.0
1922,1923,118.11
1923,1485,118.12
805,1924,104.96
1924,972,104.96
1925,746,101.1
746,1926,75.86
1926,1101,94.3
494,1766,94.13
1766,719,15.31
1113,1068,19.03
1068,1441,78.75
1441,2161,58.94
230,1828,237.34
1828,1809,64.57
872,444,15.26
1744,1927,64.13
1927,1681,25.92
1056,1928,111.91
1928,680,56.51
1660,1661,50.0
1661,1660,50.0
1661,1929,26.31
1929,1661,26.31
1929,272,26.31
272,1929,26.31
272,425,39.5
425,272,39.5
425,1930,39.5
1930,425,39.5
1930,991,50.0
991,1930,50.0
991,1038,26.45
1038,991,26.45
1038,550,29.07
550,1038,29.07
528,1931,24.44
1931,4282,55.83
1932,1969,42.47
1033,1933,23.07
1933,594,109.78
1232,1934,38.6
1934,3535,38.6
1935,1936,31.89
1936,3544,34.47
1937,1938,38.17
1938,1939,41.39
1939,2070,15.27
666,1179,34.95
617,1467,49.95
1467,4283,46.32
1940,1941,49.18
1941,1942,21.88
1942,1943,100.61
1943,2286,96.7
517,518,38.51
1426,851,27.38
851,1426,27.38
1944,1945,98.56
1945,1116,25.11
719,1811,71.16
1811,1132,26.93
916,1946,164.61
1946,231,32.31
1947,4284,59.95
322,1376,46.28
1376,1817,80.52
1817,1858,185.7
1858,1948,185.7
1948,1949,95.86
1949,1950,200.0
1950,479,166.17
479,1725,166.18
1111,1951,16.87
1951,1952,15.26
1952,2111,41.66
285,1902,26.45
1902,262,26.46
725,1953,27.35
1953,904,39.67
1334,1100,47.52
446,1742,90.28
1954,1955,50.0
1955,1956,37.44
1956,1957,37.45
1957,1073,35.88
195,1958,50.0
1958,2317,17.98
1959,1960,25.66
1960,2306,25.66
1925,1961,44.35
1961,1615,28.93
1615,1008,68.44
837,1094,35.06
1962,1963,69.32
1963,1211,25.57
1211,1212,27.35
1964,645,48.2
956,1553,25.75
1553,1552,36.21
1469,1470,29.98
1470,157,18.18
715,822,154.88
1965,1966,51.34
1966,1965,51.34
1109,1967,177.06
1967,1968,177.06
1968,210,47.78
1969,1970,45.98
1970,827,45.98
1971,1972,40.96
1972,238,67.63
1973,427,117.41
1974,867,106.08
867,1974,106.08
1649,1975,200.0
1975,1976,171.84
1976,1977,171.84
1977,1978,89.4
1978,1979,200.0
1979,1980,200.0
1980,1981,121.11
1981,926,121.12
437,262,47.13
694,695,200.0
695,1982,174.58
1982,1983,174.58
1983,1984,36.72
1984,1985,121.68
1985,779,121.69
935,1643,50.0
1643,1645,50.0
1645,1646,27.14
1646,444,27.14
444,188,41.09
188,371,41.09
371,858,50.0
858,1049,47.0
1049,326,47.0
307,1986,15.78
1986,1758,34.37
1987,993,134.22
1621,1179,24.91
1971,1988,41.71
1988,4285,32.23
1989,526,114.14
526,1990,35.25
1990,709,45.28
1991,293,27.49
920,4286,191.79
1992,1806,70.68
1993,1351,156.1
1536,1428,48.04
1994,1995,24.4
1995,756,20.36
444,188,15.4
1996,1836,71.86
1318,531,63.25
1997,1998,38.57
1998,1999,111.36
1999,2959,111.37
205,2000,24.11
2000,374,51.59
231,789,36.57
1057,442,46.7
273,498,79.1
2001,2002,36.38
2002,321,184.63
319,1605,201.63
1681,2003,155.35
2003,2004,44.51
2004,2005,196.56
2005,482,196.57
2006,1483,88.1
2007,2006,15.4
1663,2008,16.68
2008,1969,22.11
197,2009,15.51
2009,609,30.85
501,2010,63.61
2010,2011,17.12
2011,1699,137.15
1056,2012,145.03
2012,1456,171.18
2013,1056,49.7
2014,2015,25.41
2015,2284,64.16
340,2016,33.94
2016,229,21.72
934,615,135.1
374,2017,15.71
2017,1112,500.0
1112,1723,500.0
1723,2018,500.0
2018,4287,500.0
2019,2020,445.51
2020,853,445.51
853,1002,17.45
1743,2021,165.85
2021,1006,172.12
1502,2022,131.49
2022,1386,131.49
204,2023,86.24
2023,545,59.85
2024,2025,42.22
2025,565,42.21
1117,2026,32.13
2026,625,22.09
923,1828,43.06
1828,2027,302.59
2027,1830,303.0
1830,958,59.18
667,1647,42.66
207,668,31.35
668,207,31.35
723,2028,78.0
2028,1238,51.22
1469,2029,30.85
2029,1787,22.67
2030,4288,21.29
2031,1987,81.99
2032,2033,40.68
2033,2034,93.12
2034,2035,19.45
2035,1844,41.17
841,901,24.51
693,2225,24.31
2036,405,84.56
2037,2038,25.73
2038,2039,108.25
2039,2040,18.33
725,1417,119.53
904,725,67.87
2041,721,83.92
738,902,29.84
902,738,29.84
835,665,93.4
287,2047,29.92
2042,721,23.44
576,979,47.86
979,576,47.86
2043,1123,29.77
239,681,20.2
1112,724,85.75
2044,2133,21.9
1548,2120,63.09
2045,287,30.15
2046,1822,191.2
2047,2048,131.01
2048,538,131.01
1116,866,43.96
538,2048,132.4
2048,4289,132.41
724,2049,42.16
2049,1112,42.16
350,835,111.98
2050,2051,28.03
2051,2050,28.03
2051,2052,200.0
2052,2051,200.0
2052,2053,164.14
2053,2052,164.14
2053,2054,164.15
2054,2053,164.15
649,154,56.6
1037,575,85.88
575,1037,85.88
2056,2055,21.34
2055,375,45.8
2057,2058,22.37
2058,2059,24.01
2059,218,48.27
2054,337,26.33
2060,2061,106.04
2061,2062,106.05
2062,914,31.97
2063,2064,24.03
2064,2065,39.14
2065,2066,48.48
2066,907,22.2
340,2067,43.79
2067,2068,42.84
2068,153,46.48
2047,4289,38.6
2069,2565,65.12
2070,2071,200.0
2071,2072,148.89
2072,926,148.9
2073,2074,21.16
2074,2075,37.37
2075,2076,38.11
2076,2077,15.49
2077,2078,42.19
2078,2079,22.61
2079,2080,43.46
2080,2081,17.15
2081,2082,58.45
2082,519,72.73
252,2054,24.54
2083,2091,126.47
231,196,134.96
2084,2085,228.48
2085,162,116.39
501,2086,76.95
2086,1842,145.13
721,1745,122.78
1745,1744,52.05
1842,2087,31.55
2087,4290,31.55
2088,2089,49.06
2089,429,49.06
235,646,70.31
532,2090,66.46
2090,175,88.84
175,1462,23.58
2091,2092,74.27
2092,2056,53.03
438,2093,143.39
2093,2094,29.76
2094,2069,29.68
2095,2096,25.11
1120,2097,50.0
2097,2098,29.72
2098,534,29.72
907,2099,46.49
2099,2100,46.49
2100,2064,21.18
2064,2063,28.05
993,2101,121.54
2101,2102,15.04
2102,2103,28.22
2103,1842,72.34
2104,2105,111.42
2105,2055,71.1
2106,2107,29.92
2107,2108,50.0
2108,2109,25.86
2109,724,25.86
1659,1660,33.0
1660,2138,44.97
1822,2110,112.82
2110,1097,92.28
2111,1789,94.16
1789,565,36.55
1529,2112,172.84
2112,2113,55.2
2113,2114,67.21
2114,1266,142.38
1123,2045,35.91
2115,716,113.7
1822,2349,29.37
2116,2117,167.58
2117,353,84.89
2118,2119,108.96
2119,438,108.96
2120,2121,91.61
2121,2122,29.2
2122,2123,117.47
2123,978,117.47
1054,2276,179.32
2124,584,73.41
2125,2126,144.11
2126,646,26.21
646,235,69.13
2127,2128,119.38
2128,2129,119.38
2129,2130,27.39
2130,2131,81.49
2131,2132,141.99
2132,694,141.99
2133,2134,77.59
2134,2135,43.8
2135,478,83.67
2136,2137,62.03
2137,836,56.7
2138,2139,49.22
2139,2140,73.1
2140,2141,46.68
2141,4291,103.62
2142,1019,30.37
1417,661,95.77
2055,2244,50.94
154,529,70.96
2143,2144,70.71
2144,420,56.32
2145,2146,79.56
2146,2147,31.29
2147,2148,22.79
2148,2149,129.4
2149,2150,15.74
2150,3754,85.52
1097,418,191.65
418,1081,75.52
1081,1484,101.26
1484,1767,101.28
1787,2151,16.95
2151,1787,16.95
764,2338,20.41
2152,653,36.75
2153,216,115.25
1604,885,20.76
2154,2338,48.06
1966,1225,96.14
1225,1966,96.14
761,4292,45.97
2155,2057,31.48
2156,2351,19.24
2157,2158,15.89
2158,803,125.74
1458,2206,49.92
2159,2153,22.7
2151,1469,52.76
2160,1940,26.22
2161,2151,123.44
895,1021,119.94
608,174,55.53
1229,608,20.46
1229,2162,29.23
2162,2163,54.44
2163,2050,43.02
608,996,32.23
2164,2165,55.46
2165,2166,62.85
2166,1033,46.67
2164,401,40.96
2167,2168,46.42
2168,932,46.42
2169,2167,40.63
932,2170,16.55
2170,2171,33.24
2171,2167,33.24
1713,2172,43.66
2172,1713,43.66
2172,1080,36.16
1080,2172,36.16
792,2173,21.33
2173,792,21.33
2173,842,58.62
842,2173,58.62
2174,770,31.56
770,1987,33.15
2031,2174,41.15
2174,742,16.45
2175,649,127.36
186,884,30.62
2176,2175,55.81
1129,186,17.14
1742,1323,24.21
1323,2174,26.28
925,273,28.25
1454,2177,169.5
2177,1373,37.07
1155,498,42.8
2178,1111,112.31
2179,490,84.68
606,2152,34.94
2180,1111,57.38
2181,1731,92.72
2182,1874,38.38
2183,2184,50.0
2184,2185,50.0
2185,2186,47.9
2186,254,47.9
2187,2188,51.93
2188,2341,141.88
1099,2189,46.62
2189,1099,46.62
892,701,32.16
701,892,32.16
1650,2190,24.03
2190,2191,48.91
2191,1651,50.0
1651,2192,43.2
2192,1527,43.2
424,2193,52.25
2193,1141,93.44
609,197,46.6
625,2194,20.75
2194,1142,134.26
1218,2200,168.8
2195,2196,72.64
2196,2197,106.32
2197,2198,27.35
2198,883,28.13
153,2199,31.2
2199,2068,31.2
2068,2067,40.88
2067,340,40.89
1540,693,22.93
2200,2201,50.0
2201,2202,50.0
2202,2203,32.18
2203,1685,32.18
2204,2205,29.63
2205,517,20.6
2206,2207,44.83
2207,346,81.44
2208,2209,50.0
2209,2210,50.0
2210,2211,44.04
2211,2212,44.04
2212,2213,44.23
2213,1122,46.42
2214,2095,26.3
2215,804,48.96
804,2215,48.96
2216,1539,17.9
1539,859,56.82
2217,2218,61.93
2218,2219,134.84
2219,2220,26.21
2220,2160,32.96
2221,276,102.66
588,2222,175.64
2222,1242,101.45
1647,2223,35.76
2223,2224,64.89
2224,373,51.69
2225,2036,37.58
2127,2226,44.97
2226,2227,116.26
2227,2228,131.28
2228,2132,184.45
2132,1173,184.46
2229,2230,48.72
2230,2333,29.08
2231,1054,60.32
2232,2233,200.0
2233,2234,134.77
2234,2235,134.77
2235,2236,53.61
2236,2237,80.69
