edge_idx,requested_lat,requested_lon,jarak_ke_geometri_tile_terdekat_m,tercakup_tomtom
0,-6.315574149999999,106.7824529,88.07319624329392,False
1,-6.315574149999999,106.7824529,88.07319624329392,False
2,-6.326619399999993,106.8223725,185.67833222681526,False
3,-6.326619399999993,106.8223725,185.67833222681526,False
4,-6.314790450000007,106.79090794999999,140.82231371854638,False
5,-6.342467124999979,106.80444257500002,72.21003992486936,False
6,-6.342467124999979,106.80444257500002,72.21003992486936,False
7,-6.3453425999999995,106.80376824999999,392.77615330058563,False
8,-6.3453425999999995,106.80376824999999,392.77615330058563,False
9,-6.321741425000154,106.81114297499951,450.86097745309013,False
10,-6.321741425000154,106.81114297499951,450.86097745309013,False
11,-6.3125362499999955,106.79641445,185.69395268937137,False
12,-6.314857950000003,106.7901048,229.63759216409125,False
13,-6.314857950000003,106.7901048,229.63759216409125,False
14,-6.307714250000002,106.7936125,2.5258021074509416,True
15,-6.307714250000002,106.7936125,2.5258021074509416,True
16,-6.312255347500259,106.79345654999995,203.54665821655917,False
17,-6.326435649999995,106.81106890000001,11.258837624076426,True
18,-6.326435649999995,106.81106890000001,11.258837624076426,True
19,-6.3113305500000685,106.79359659999977,99.72548288221644,False
20,-6.311458125000032,106.78126812499991,1.9062063304971437,True
21,-6.311458125000032,106.78126812499991,1.9062063304971437,True
22,-6.322263900000005,106.81116705000001,393.08332157716035,False
23,-6.322263900000005,106.81116705000001,393.08332157716035,False
24,-6.3142598,106.81261375,391.39447534626976,False
25,-6.3271339000000015,106.8140526,156.9956539811148,False
26,-6.3271339000000015,106.8140526,156.9956539811148,False
27,-6.315641438888878,106.7931246499999,95.33512343004662,False
28,-6.315641438888878,106.7931246499999,95.33512343004662,False
29,-6.323234475000191,106.81128532499915,284.61893792660766,False
30,-6.323234475000191,106.81128532499915,284.61893792660766,False
31,-6.315316149999996,106.78235315,72.19161215384663,False
32,-6.315316149999996,106.78235315,72.19161215384663,False
33,-6.309057975001409,106.78112167500063,0.3413720275023166,True
34,-6.327160850000007,106.8163384,0.6925666821974585,True
35,-6.327160850000007,106.8163384,0.6925666821974585,True
36,-6.327341050000182,106.81723778333337,101.77812404920046,False
37,-6.327341050000182,106.81723778333337,101.77812404920046,False
38,-6.3120163275000465,106.79418763999978,172.5291868103568,False
39,-6.3267105749999075,106.81906182500009,99.15501964599362,False
40,-6.3267105749999075,106.81906182500009,99.15501964599362,False
41,-6.314828550000001,106.79045095000001,191.67161146472665,False
42,-6.343948012500399,106.80413485000011,234.4873337198586,False
43,-6.326611583336412,106.82202946666828,199.90335009458295,False
44,-6.326611583336412,106.82202946666828,199.90335009458295,False
45,-6.3107101499999905,106.81570805,4.656767573791853,True
46,-6.311053099999999,106.816191,44.77880355084875,True
47,-6.322503625000197,106.81118267499915,366.52295623591715,False
48,-6.322503625000197,106.81118267499915,366.52295623591715,False
49,-6.326566725000137,106.82001015000006,162.76885518908432,False
50,-6.326566725000137,106.82001015000006,162.76885518908432,False
51,-6.316026466668259,106.81641046666735,154.246870233743,False
52,-6.316026466668259,106.81641046666735,154.246870233743,False
53,-6.312570300000008,106.81626035,69.60355192643708,False
54,-6.312717545000417,106.79342448500022,197.94196390011547,False
55,-6.317951299999997,106.81599885,370.17312336084376,False
56,-6.317951299999997,106.81599885,370.17312336084376,False
57,-6.327091049999997,106.81172480000001,63.79331102784184,False
58,-6.327091049999997,106.81172480000001,63.79331102784184,False
59,-6.3265775250001415,106.82055935000005,209.83721468872915,False
60,-6.3265775250001415,106.82055935000005,209.83721468872915,False
61,-6.309531449999993,106.80355,5.897575175903971,True
62,-6.309531449999993,106.80355,5.897575175903971,True
63,-6.314422049999992,106.8163313,21.293249094458304,True
64,-6.342185424999912,106.80450280000005,46.24160785822482,True
65,-6.342185424999912,106.80450280000005,46.24160785822482,True
66,-6.315682399999997,106.79240874999999,16.99733957991288,True
67,-6.315682399999997,106.79240874999999,16.99733957991288,True
68,-6.320977425000158,106.81100092499952,537.0407747233313,False
69,-6.320977425000158,106.81100092499952,537.0407747233313,False
70,-6.3271144750010375,106.81270440000026,9.204433252806977,True
71,-6.3271144750010375,106.81270440000026,9.204433252806977,True
72,-6.343948012500399,106.80413485000011,234.4873337198586,False
73,-6.310309116666682,106.78106104999942,3.058743962077639,True
74,-6.310309116666682,106.78106104999942,3.058743962077639,True
75,-6.317718950000007,106.81145939999999,616.4998091180269,False
76,-6.317718950000007,106.81145939999999,616.4998091180269,False
77,-6.314697849999996,106.7820349,24.804585604639357,True
78,-6.314697849999996,106.7820349,24.804585604639357,True
79,-6.31530241666825,106.81631116666736,74.13003987477724,False
80,-6.317581349999996,106.8160413,328.8393168371048,False
81,-6.317581349999996,106.8160413,328.8393168371048,False
82,-6.315333499999998,106.79174155,46.10563586675371,True
83,-6.3270987250001545,106.81211422500003,55.36141743778561,False
84,-6.3270987250001545,106.81211422500003,55.36141743778561,False
85,-6.318212150000006,106.81115614999999,601.528189140331,False
86,-6.318212150000006,106.81115614999999,601.528189140331,False
87,-6.325501650000005,106.8160179,2.5903918819749805,True
88,-6.325501650000005,106.8160179,2.5903918819749805,True
89,-6.312717545000417,106.79342448500022,197.94196390011547,False
90,-6.344524975000276,106.80401177499996,299.4253930710733,False
91,-6.327308449999999,106.81663655,34.948224963654546,True
92,-6.327308449999999,106.81663655,34.948224963654546,True
93,-6.317359537499868,106.8116414500004,591.6715717688008,False
94,-6.317359537499868,106.8116414500004,591.6715717688008,False
95,-6.3270528649997555,106.81897180500079,60.62102009418423,False
96,-6.3270528649997555,106.81897180500079,60.62102009418423,False
97,-6.327130150000009,106.81331349999999,75.85002471519405,False
98,-6.327130150000009,106.81331349999999,75.85002471519405,False
99,-6.326837350000016,106.81621765,16.02349847108699,True
100,-6.326837350000016,106.81621765,16.02349847108699,True
101,-6.31092942500003,106.78115907499989,0.5738912164645376,True
102,-6.31092942500003,106.78115907499989,0.5738912164645376,True
103,-6.326317950000016,106.8161584,27.42368865170036,True
104,-6.326317950000016,106.8161584,27.42368865170036,True
105,-6.311772577500047,106.79351388999979,149.6112874576506,False
106,-6.313336900000014,106.81628405000001,15.699656715657639,True
107,-6.31580380000119,106.78253675714132,89.75110983626942,False
108,-6.31580380000119,106.78253675714132,89.75110983626942,False
109,-6.326131749999989,106.81108177499999,21.600963904409323,True
110,-6.326131749999989,106.81108177499999,21.600963904409323,True
111,-6.314653750000007,106.7903885,197.8762532432785,False
112,-6.316920637499875,106.81170437500023,561.4381775689232,False
113,-6.316920637499875,106.81170437500023,561.4381775689232,False
114,-6.327103200001195,106.81237702500029,26.569984402589633,True
115,-6.327103200001195,106.81237702500029,26.569984402589633,True
