segmentId,edge_idx
1336437829314871296,0
1336437829314871297,1
1336437829315067904,2
1336437829315067905,3
1336437829339807744,4
1336437829364023296,5
1336437829364023297,6
1336437829381160960,7
1336437829381160961,8
1336437829389025280,9
1336437829389025281,10
1336437829424742400,11
1336437829449383936,12
1336437829449383937,13
1336437829461901312,14
1336437829461901313,15
1336437829474549760,16
1336437829519048704,17
1336437829519048705,18
1336437829531467776,19
1336437829609783296,20
1336437829609783297,21
1336437829616271360,22
1336437829616271361,23
1336437829647663104,24
1336437829653954560,25
1336437829653954561,26
1336437829660573696,27
1336437829660573697,28
1336437829692948480,29
1336437829692948481,30
1336437829698486272,31
1336437829698486273,32
1336437829698519040,33
1336437829716770816,34
1336437829716770817,35
1336437829765038080,36
1336437829765038081,37
1336437829765201920,38
1336437829788794880,39
1336437829788794881,40
1336437829795545088,41
1336437829816909824,42
1336437829831000064,43
1336437829831000065,44
1336437829831196672,45
1336437829888442368,46
1336437829894766592,47
1336437829894766593,48
1336437829901189120,49
1336437829901189121,50
1336437829923831808,51
1336437829923831809,52
1336437829923864576,53
1336437829929697280,54
1336437829985599488,55
1336437829985599489,56
1336437830004277248,57
1336437830004277249,58
1336437830004310016,59
1336437830004310017,60
1336437830016565248,61
1336437830016565249,62
1336437830059687936,63
1336437830064668672,64
1336437830064668673,65
1336437830083837952,66
1336437830083837953,67
1336437830115557376,68
1336437830115557377,69
1336437830121783296,70
1336437830121783297,71
1336437830139248640,72
1336437830173196288,73
1336437830173196289,74
1336437830193741824,75
1336437830193741825,76
1336437830225821696,77
1336437830225821697,78
1336437830226083840,79
1336437830238699520,80
1336437830238699521,81
1336437830258556928,82
1336437830264520704,83
1336437830264520705,84
1336437830294798336,85
1336437830294798337,86
1336437830346571776,87
1336437830346571777,88
1336437830366658560,89
1336437830397263872,90
1336437830399295488,91
1336437830399295489,92
1336437830424592384,93
1336437830424592385,94
1336437830472630272,95
1336437830472630273,96
1336437830478561280,97
1336437830478561281,98
1336437830478594048,99
1336437830478594049,100
1336437830483738624,101
1336437830483738625,102
1336437830483836928,103
1336437830483836929,104
1336437830516834304,105
1336437830523027456,106
1336437830546653184,107
1336437830546653185,108
1336437830552879104,109
1336437830552879105,110
1336437830558318592,111
1336437830558384128,112
1336437830558384129,113
1336437830591414272,114
1336437830591414273,115
1336437830609240064,116
1336437830609240065,117
1336437830616023040,118
1336437830665142272,119
1336437830683066368,120
1336437830734282752,121
1336437830763020288,122
1336437830763020289,123
1336437830765150208,124
1336437830765150209,125
1336437830783238144,126
1336437830828916736,127
1336437830828982272,128
1336437830856245248,129
1336437830856278016,130
1336437830862045184,131
1336437830862077952,132
1336437830884458496,133
1336437830888095744,134
1336437830888095745,135
1336437830888128512,136
1336437830888128513,137
1336437830908772352,138
1336437830910083072,139
1336437830926925824,140
1336437830926925825,141
1336437830926958592,142
1336437830926958593,143
1336437830929809408,144
1336437830929842176,145
1336437830929874944,146
1336437830938755072,147
1336437830938755073,148
1336437830939869184,149
1336437830939869185,150
1336437830941736960,151
1336437830941769728,152
1336437830941802496,153
1336437830941835264,154
1336437830944522240,155
1336437830944522241,156
1336437830951796736,157
1336437830951796737,158
1336437830977978368,159
1336437830977978369,160
1336437830982533120,161
1336437830982533121,162
1336437831004782592,163
1336437831004782593,164
1336437831014940674,165
1336437831014940676,166
1336437831014940678,167
1336437831014940680,168
1336437831014940682,169
1336437831014940684,170
1336437831025197056,171
1336437831026802688,172
1336437831026802689,173
1336437831026835456,174
1336437831026835457,175
1336437831028146176,176
1336437831028211712,177
1336437831031750656,178
1336437831031783424,179
1336437831036174336,180
1336437831038042112,181
1336437831038107648,182
1336437831038140416,183
1336437831059505152,184
1336437831061602304,185
1336437831061602305,186
1336437831061667840,187
1336437831061667841,188
1336437831083556864,189
1336437831083556865,190
1336437831088439296,191
1336437831088439297,192
1336437831088472064,193
1336437831088472065,194
1336437831088504832,195
1336437831088504833,196
1336437831088603136,197
1336437831088635904,198
1336437831097679872,199
1336437831106592768,200
1336437831106592769,201
1336437831108722688,202
1336437831109312512,203
1336437831109312513,204
1336437831109869568,205
1336437831109869569,206
1336437831110164480,207
1336437831112523776,208
1336437831112523777,209
1336437831112556544,210
1336437831112720384,211
1336437831113015296,212
1336437831113768960,213
1336437831113768961,214
1336437831126384640,215
1336437831126384641,216
1336437831128514560,217
1336437831128547328,218
1336437831143456768,219
1336437831255719936,220
1336437831255719937,221
1336437832048705536,222
1336437832048705537,223
1336437832048738304,224
1336437832048738305,225
1336437898024910850,226
1336437898024910852,227
1336437898025009152,228
1336437898027302912,229
1336437898028253184,230
1336437898028253185,231
1336437898029301760,232
1336437898034708480,233
1336437898034708481,234
1336437898036019200,235
1336437898040410112,236
1336437898040803328,237
1336437898043654144,238
1336437898047520768,239
1336437898047520769,240
1336437898049486848,241
1336437898057711616,242
1336437898059186176,243
1336437898059808768,244
1336437898063249410,245
1336437898063249411,246
1336437898063249412,247
1336437898063249413,248
1336437898063380480,249
1336437898064429056,250
1336437898064560128,251
1336437898066591744,252
1336437898068885506,253
1336437898068885507,254
1336437898068885508,255
1336437898068885509,256
1336437898069213184,257
1336437898072096770,258
1336437898072096772,259
1336437898072457216,260
1336437898076127232,261
1336437898076651520,262
1336437898080911360,263
1336437898085007360,264
1336437898085203968,265
1336437898085302272,266
1336437898085302273,267
1336437898086481920,268
1336437898095165440,269
1336437898100146176,270
1336437898101751808,271
1336437898101751809,272
1336437898102177792,273
1336437898102177793,274
1336437898103783424,275
1336437898107420674,276
1336437898107420676,277
1336437898107420678,278
1336437898112073728,279
1336437898114695168,280
1336437898117087232,281
1336437898117283840,282
1336437898117283841,283
1336437898117873666,284
1336437898117873668,285
1336437898122625024,286
1336437898125213696,287
1336437898125213697,288
1336437898127147008,289
1336437898132946944,290
1336437898134257664,291
1336437898134454272,292
1336437898138025984,293
1336437898138845184,294
1336437898139074560,295
1336437898140024832,296
1336437898140155904,297
1336437898141007872,298
1336437898141007873,299
1336437898142449666,300
1336437898142449668,301
1336437898142515202,302
1336437898142515204,303
1336437898142547968,304
1336437898145202176,305
1336437898145562626,306
1336437898145562628,307
1336437898146447362,308
1336437898146447364,309
1336437898148118528,310
1336437898150117376,311
1336437898153394176,312
1336437898156244992,313
1336437898157588482,314
1336437898157588484,315
1336437898157719552,316
1336437898157948928,317
1336437898161455106,318
1336437898161455110,319
1336437898163159040,320
1336437898163322880,321
1336437898163585024,322
1336437898163814400,323
1336437898163814401,324
1336437898165256192,325
1336437898167353344,326
1336437898171121664,327
1336437898183933952,328
1336437898184032256,329
1336437898184163328,330
1336437898187505664,331
1336437898192879616,332
1336437898192879617,333
1336437898199695360,334
1336437898199695361,335
1336437898200055808,336
1336437898201366528,337
1336437898203922432,338
1336437898203955204,339
1336437898206314498,340
1336437898206314502,341
1336437898206314504,342
1336437898208903168,343
1336437898211393536,344
1336437898211622912,345
1336437898211622913,346
1336437898214473728,347
1336437898219618304,348
1336437898219683840,349
1336437898220797952,350
1336437898221289472,351
1336437898223091712,352
1336437898225745922,353
1336437898225745924,354
1336437898225844224,355
1336437898226794496,356
1336437898229121024,357
1336437898230562816,358
1336437898230595584,359
1336437898237542400,360
1336437898237575168,361
1336437898240294912,362
1336437898240294913,363
1336437898240589824,364
1336437898240720896,365
1336437898243932162,366
1336437898243932164,367
1336437898248454144,368
1336437898248454145,369
1336437898249666560,370
1336437898249895936,371
1336437898251206658,372
1336437898251206659,373
1336437898251206660,374
1336437898251206661,375
1336437898251927552,376
1336437898252025864,377
1336437898252025865,378
1336437898255925248,379
1336437898255925249,380
1336437898257072128,381
1336437898257104896,382
1336437898261135360,383
1336437898265919488,384
1336437898266542082,385
1336437898266542084,386
1336437898273030144,387
1336437898273193984,388
1336437898273685504,389
1336437898274963456,390
1336437898275291136,391
1336437898278993920,392
1336437898278993921,393
1336437898279157760,394
1336437898280894464,395
1336437898281123840,396
1336437898282205184,397
1336437898289217536,398
1336437898289217537,399
1336437898289348608,400
1336437898290659328,401
1336437898291150848,402
1336437898296721408,403
1336437898297442304,404
1336437898301800448,405
1336437898302259200,406
1336437898302291968,407
1336437898304061440,408
1336437898304061441,409
1336437898304225280,410
1336437898304749568,411
1336437898304749569,412
1336437898304782336,413
1336437898304782337,414
1336437898306256896,415
1336437898308780032,416
1336437898310352896,417
1336437898311335936,418
1336437898311729152,419
1336437898311729153,420
1336437898316054528,421
1336437898316644354,422
1336437898316644356,423
1336437898316644358,424
1336437898320314368,425
1336437898323296256,426
1336437898325327872,427
1336437898329915392,428
1336437898330832896,429
1336437898330931200,430
1336437898331193344,431
1336437898333093888,432
1336437898334502912,433
1336437898334797824,434
1336437898337550336,435
1336437898338598912,436
1336437898338598913,437
1336437898338697218,438
1336437898338697220,439
1336437898338697222,440
1336437898338697224,441
1336437898338697226,442
1336437898338697228,443
1336437898338697230,444
1336437898338697232,445
1336437898338697234,446
1336437898338697236,447
1336437898338697238,448
1336437898342170624,449
1336437898342432768,450
1336437898342957056,451
1336437898346430466,452
1336437898346430468,453
1336437898346758144,454
1336437898348331008,455
1336437898349051906,456
1336437898349051908,457
1336437898349051910,458
1336437898349051912,459
1336437898350231552,460
1336437898350526464,461
1336437898353344512,462
1336437898357604352,463
1336437898360455168,464
1336437898361536512,465
1336437898361536513,466
1336437898361667584,467
1336437898364551168,468
1336437898364780544,469
1336437898367795200,470
1336437898369925120,471
1336437898370777088,472
1336437898370809856,473
1336437898372644864,474
1336437898377494528,475
1336437898377625600,476
1336437898379460608,477
1336437898382540800,478
1336437898382639104,479
1336437898383589376,480
1336437898385195008,481
1336437898385489922,482
1336437898385489924,483
1336437898385489926,484
1336437898385489928,485
1336437898385489930,486
1336437898387226624,487
1336437898387292160,488
1336437898390667264,489
1336437898393387008,490
1336437898393485312,491
1336437898399154176,492
1336437898401120256,493
1336437898405969920,494
1336437898408820736,495
1336437898414292994,496
1336437898414292995,497
1336437898414292996,498
1336437898414292997,499
1336437898414292998,500
1336437898414292999,501
1336437898414325762,502
1336437898414325764,503
1336437898419765248,504
1336437898419896322,505
1336437898419896323,506
1336437898419896324,507
1336437898419896325,508
1336437898419896326,509
1336437898419896327,510
1336437898420027392,511
1336437898420027393,512
1336437898421534720,513
1336437898422059010,514
1336437898422059012,515
1336437898422091776,516
1336437898423435264,517
1336437898430939136,518
1336437898436050944,519
1336437898436575232,520
1336437898438082560,521
1336437898438311936,522
1336437898441261058,523
1336437898441261060,524
1336437898441261062,525
1336437898441261064,526
1336437898441261066,527
1336437898441261068,528
1336437898443980800,529
1336437898446340098,530
1336437898446340100,531
1336437898449223680,532
1336437898450272258,533
1336437898450272260,534
1336437898453843968,535
1336437898457153536,536
1336437898457153537,537
1336437898457579520,538
1336437898462134274,539
1336437898462134276,540
1336437898462134278,541
1336437898462134280,542
1336437898462167040,543
1336437898466459648,544
1336437898466820096,545
1336437898466820097,546
1336437898470260736,547
1336437898470948864,548
1336437898472390656,549
1336437898476290048,550
1336437898479763456,551
1336437898482843648,552
1336437898482941952,553
1336437898484973568,554
1336437898487169024,555
1336437898489561088,556
1336437898492379136,557
1336437898495262720,558
1336437898495262721,559
1336437898497130496,560
1336437898500571138,561
1336437898500571140,562
1336437898500571142,563
1336437898502078464,564
1336437898502373378,565
1336437898502373380,566
1336437898502373382,567
1336437898504437760,568
1336437898504470528,569
1336437898504634370,570
1336437898504634372,571
1336437898507288576,572
1336437898511876096,573
1336437898514792448,574
1336437898514792449,575
1336437898514825216,576
1336437898517184512,577
1336437898525507584,578
1336437898526064640,579
1336437898528456704,580
1336437898529767424,581
1336437898538450944,582
1336437898547101696,583
1336437898547200000,584
1336437898547462144,585
1336437898547494912,586
1336437898547560448,587
