edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
719,-6.2392709499999945,106.807348,FRC2,19.0,19.0,1.0,-6.239248631230754,106.80734126055783,2.591130651485529,True,
723,-6.261656049999987,106.7666874,FRC2,35.0,35.0,1.0,-6.261942785682754,106.76684795105058,36.4894478094027,True,
729,-6.293941049999994,106.8223236,FRC2,8.0,15.0,1.0,-6.294087739718478,106.8222690948337,17.388049877185264,True,
732,-6.226611400000087,106.806429275,FRC4,14.0,14.0,1.0,-6.226530956130983,106.80651648128554,13.150505722537842,True,
740,-6.2926533500000135,106.8085166,FRC2,30.0,30.0,1.0,-6.292628579889302,106.80853350246524,3.328091286892645,True,
749,-6.288904900000005,106.77059085,FRC1,25.0,33.0,1.0,-6.289078723680292,106.77018596017037,48.74642260657217,True,
753,-6.287904550000011,106.777208,FRC1,49.0,49.0,1.0,-6.28823516270566,106.77748290979711,47.693879689255205,True,
774,-6.292662850002774,106.79521600000146,FRC2,23.0,30.0,1.0,-6.292481114039657,106.79525120342038,20.57928012030154,True,
781,-6.295142450000375,106.80465322500112,FRC3,50.0,50.0,1.0,-6.295931720637569,106.80462150061612,87.8329051667693,True,
821,-6.288795825000754,106.77763638750048,FRC1,31.0,31.0,1.0,-6.288676397337788,106.77774978959413,18.26059623734977,True,
833,-6.2393971000000015,106.78613245,FRC2,23.0,23.0,1.0,-6.239259379839666,106.78615180933524,15.4625729837359,True,
848,-6.226017499999995,106.78848095,FRC4,36.0,36.0,1.0,-6.225692710282498,106.78795961821174,68.00901334951416,True,
866,-6.231112755001515,106.80959419999888,FRC4,23.0,23.0,1.0,-6.231294516893146,106.80934621179694,34.057431898255274,True,
895,-6.236423750000029,106.7805806299999,FRC6,19.0,19.0,1.0,-6.236510061806254,106.78052185261168,11.58976544891056,True,
906,-6.2292736499999934,106.8013028,FRC2,16.0,21.0,0.995461,-6.229301657439943,106.80103672826688,29.57556415999701,True,
908,-6.238999700000001,106.78257285,FRC6,14.0,22.0,0.94,-6.239009912068945,106.7828821965453,34.212885117539656,True,
920,-6.255937640001493,106.78165786000092,FRC2,20.0,39.0,1.0,-6.255997695816021,106.7816430159802,6.876513371269898,True,
925,-6.238675140911241,106.78297585908832,FRC3,41.0,41.0,1.0,-6.238846266479502,106.78234843695122,71.91600609347034,True,
934,-6.29843600500229,106.77441997000405,FRC7,12.0,22.0,0.94,-6.298541509395993,106.77449090564028,14.110140550956732,True,
946,-6.291842235419821,106.7954344166681,FRC1,18.0,18.0,1.0,-6.291775693489529,106.79526059115192,20.587655536115275,True,
950,-6.227128089999997,106.80864321999996,FRC4,12.0,27.0,1.0,-6.227095563117329,106.80898009026627,37.41248865833989,True,
